cp,id_estado,id_municipio
11590,9,11
11600,9,11
11610,9,11
11619,9,11
11650,9,11
11700,9,11
11800,9,11
11810,9,11
11820,9,11
11830,9,11
11840,9,11
11850,9,11
11860,9,11
11870,9,11
11910,9,11
11920,9,11
11930,9,11
11950,9,11
12000,9,12
12070,9,12
12080,9,12
12100,9,12
12110,9,12
12200,9,12
12250,9,12
12300,9,12
12400,9,12
12410,9,12
12500,9,12
12600,9,12
12700,9,12
12800,9,12
12910,9,12
12920,9,12
12930,9,12
12940,9,12
12950,9,12
13000,9,13
13010,9,13
13020,9,13
13030,9,13
13040,9,13
13050,9,13
13060,9,13
13070,9,13
13080,9,13
13090,9,13
13093,9,13
13094,9,13
13099,9,13
13100,9,13
13120,9,13
13150,9,13
13180,9,13
13200,9,13
13210,9,13
13219,9,13
13220,9,13
13230,9,13
13250,9,13
13270,9,13
13273,9,13
13278,9,13
13280,9,13
13300,9,13
13310,9,13
13315,9,13
13319,9,13
13360,9,13
13400,9,13
13410,9,13
13419,9,13
13420,9,13
13430,9,13
13440,9,13
13450,9,13
13460,9,13
13508,9,13
13509,9,13
13510,9,13
13520,9,13
13530,9,13
13540,9,13
13545,9,13
13549,9,13
13550,9,13
13600,9,13
13610,9,13
13625,9,13
13630,9,13
13640,9,13
13700,9,13
14000,9,14
14010,9,14
14020,9,14
14030,9,14
14039,9,14
14040,9,14
14049,9,14
14050,9,14
14060,9,14
14070,9,14
14080,9,14
14090,9,14
14100,9,14
14108,9,14
14110,9,14
14120,9,14
14140,9,14
14150,9,14
14160,9,14
14200,9,14
14208,9,14
14209,9,14
14210,9,14
14219,9,14
14220,9,14
14230,9,14
14239,9,14
14240,9,14
14248,9,14
14250,9,14
14260,9,14
14266,9,14
14267,9,14
14268,9,14
14269,9,14
14270,9,14
14275,9,14
14300,9,14
14308,9,14
14310,9,14
14320,9,14
14325,9,14
14326,9,14
14330,9,14
14340,9,14
14350,9,14
14357,9,14
14360,9,14
14370,9,14
14376,9,14
14377,9,14
14380,9,14
14386,9,14
14387,9,14
14388,9,14
14389,9,14
14390,9,14
14400,9,14
14406,9,14
14408,9,14
14409,9,14
14410,9,14
14420,9,14
14426,9,14
14427,9,14
14429,9,14
14430,9,14
14438,9,14
14439,9,14
14440,9,14
14449,9,14
14456,9,14
14460,9,14
14470,9,14
14476,9,14
14479,9,14
14480,9,14
14490,9,14
14500,9,14
14600,9,14
14608,9,14
14609,9,14
14610,9,14
14620,9,14
14629,9,14
14630,9,14
14640,9,14
14643,9,14
14646,9,14
14647,9,14
14650,9,14
14653,9,14
14654,9,14
14655,9,14
14657,9,14
14658,9,14
14659,9,14
14700,9,14
14710,9,14
14720,9,14
14730,9,14
14734,9,14
14735,9,14
14737,9,14
14738,9,14
14739,9,14
14740,9,14
14748,9,14
14749,9,14
14760,9,14
14900,9,14
15000,9,15
15010,9,15
15020,9,15
15100,9,15
15200,9,15
15210,9,15
15220,9,15
15230,9,15
15240,9,15
15250,9,15
15260,9,15
15270,9,15
15280,9,15
15290,9,15
15300,9,15
15309,9,15
15310,9,15
15320,9,15
15330,9,15
15339,9,15
15340,9,15
15350,9,15
15370,9,15
15380,9,15
15390,9,15
15400,9,15
15410,9,15
15420,9,15
15430,9,15
15440,9,15
15450,9,15
15460,9,15
15470,9,15
15500,9,15
15510,9,15
15520,9,15
15530,9,15
15540,9,15
15600,9,15
15610,9,15
15620,9,15
15630,9,15
15640,9,15
15650,9,15
15660,9,15
15670,9,15
15680,9,15
15700,9,15
15710,9,15
15730,9,15
15740,9,15
15750,9,15
15800,9,15
15810,9,15
15820,9,15
15830,9,15
15840,9,15
15850,9,15
15860,9,15
15870,9,15
15900,9,15
15960,9,15
15970,9,15
15980,9,15
15990,9,15
16000,9,16
16010,9,16
16020,9,16
16029,9,16
16030,9,16
16034,9,16
16035,9,16
16036,9,16
16038,9,16
16040,9,16
16050,9,16
16059,9,16
16060,9,16
16070,9,16
16080,9,16
16083,9,16
16090,9,16
16100,9,16
16200,9,16
16210,9,16
16240,9,16
16300,9,16
16310,9,16
16320,9,16
